Timestamp,Locality,Latitude,Longitude,Signal Strength (dBm),Signal Quality (%),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
2023/5/5 12:50:40,Anisabad,25.599108619690096,85.1373547012626,-84.27411319,0,1.8638900372842315,129.1229140198042,3G,0,0,0
2023/5/5 12:53:47,Fraser Road,25.43328558638305,85.07005347984405,-97.65312098,0,5.1322963842135945,54.883605700319194,4G,-95.81079071,-105.4523585,-99.92089157
2023/5/5 12:56:54,Boring Canal Road,25.498808887378964,85.21137139632043,-87.04613368,0,1.176985004103839,119.59828624191452,LTE,-91.59386079,-95.41948203,-87.71406994
2023/5/5 13:00:02,Danapur,25.735138436088505,85.20839951838049,-94.14315859,0,68.59693229517501,46.59838702175123,5G,-90.64277282,-101.8959052,-96.5706979
2023/5/5 13:03:09,Phulwari Sharif,25.538555638063606,85.15985986968118,-94.56476466,0,38.2920382968694,30.342827646588113,5G,-90.48909992,-103.3183035,-95.10246712
2023/5/5 13:06:16,Bankipore,25.64070077605017,85.01413424146313,-91.1960294,0,1.7125956761539498,190.6828441545754,LTE,-93.47470691,-97.9575788,-94.19290714
2023/5/5 13:09:23,Kidwaipuri,25.76633294901603,85.09619019919047,-85.65309191,0,4.036608509673799,99.88702425244709,4G,-87.98528177,-90.77001713,-86.18686983
2023/5/5 13:12:30,Phulwari Sharif,25.64010416273241,85.03386135616132,-85.98005248,0,2.670604991178476,132.0780064971736,LTE,-89.11486737,-95.77617677,-85.43469482
2023/5/5 13:15:38,Gardanibagh,25.585704862944006,85.30570388131865,-96.84211831,0,2.9925073995158487,196.54193512887935,LTE,-96.25918378,-102.4289366,-98.70987566
2023/5/5 13:18:45,Boring Road,25.564499466556125,85.08860676839367,-84.64306452,0,1.5678419494749314,130.53638603443935,3G,0,0,0
2023/5/5 13:21:52,S.K. Puri,25.593684062948682,85.2809425399907,-90.30840684,0,9.244325886239793,81.55693129986315,4G,-87.3602938,-97.79522137,-89.84698353
2023/5/5 13:24:59,Pataliputra,25.729002214409054,85.12084335331343,-88.6353921,0,1.5888977841391714,138.50977286019253,LTE,-85.12402539,-97.05078207,-90.61843562
2023/5/5 13:28:07,Fraser Road,25.555609359876012,85.26554176083795,-88.78220352,0,9.392683867895299,75.56711994304689,4G,-88.76704057,-94.79072763,-87.88241994
2023/5/5 13:31:14,Patliputra Colony,25.6246223024285,85.1448969715184,-88.97117004,0,5.12285860271256,76.85412135983277,4G,-90.70465762,-94.83182502,-90.34191254
2023/5/5 13:34:21,Rajendra Nagar,25.69898133859754,85.19394132395337,-79.65612677,0,1.1163871910168872,191.52137276264804,3G,0,0,0
2023/5/5 13:37:28,Bailey Road,25.682170007824126,85.19489755037431,-98.38707834,0,13.665592208707313,44.21842336044029,5G,-96.35049974,-106.0162092,-100.8000734
2023/5/5 13:40:35,Gandhi Maidan,25.470778008138037,85.10644996892131,-85.60737258,0,2.1715511625469266,194.02302414249576,3G,0,0,0
2023/5/5 13:43:43,Rajendra Nagar,25.65077154453368,85.14411688771419,-94.69551696,0,65.64284959041035,23.46216859554906,5G,-93.13829061,-102.7685339,-93.60583495
2023/5/5 13:46:50,S.K. Puri,25.47373673841433,85.07538847695022,-103.9383581,0,79.87716646677971,23.632141610120712,5G,-99.6307848,-109.6462943,-104.3643939
2023/5/5 13:49:57,Kidwaipuri,25.51604846078285,84.98010976892671,-94.88228042,0,2.1468757762465724,163.18372121697993,LTE,-95.3978252,-103.4162266,-95.91029314
2023/5/5 13:53:04,Gardanibagh,25.704256619012845,85.01557056317992,-89.02013372,0,3.5093410445493545,91.09300296451781,4G,-86.95771144,-98.61338981,-91.51110743
2023/5/5 13:56:11,Anandpuri,25.691457183395237,85.07264033141844,-97.53471588,0,49.10066600394442,20.147286954925548,5G,-98.48269501,-104.6773508,-96.08887271
2023/5/5 13:59:19,Boring Canal Road,25.535011429047596,85.25785809890714,-89.10363007,0,1.1475931294707977,155.38542844013207,LTE,-84.41060472,-96.48814085,-88.32723824
2023/5/5 14:02:26,Patliputra Colony,25.501702617560863,85.08400420109788,-89.9496304,0,1.7206901904105365,125.99498628542626,LTE,-90.41722193,-99.78805064,-91.27104935
